		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
crowd	(mean) crowd																0.090**	0.090**	0.083**													-0.00023	-0.027	0.0089	0.0089	0.0089	-0.14*		0.0089	0.0089	0.12***	-0.027	0.0089	-0.0071	0.0089	
																	(0.042)	(0.042)	(0.040)													(0.050)	(0.050)	(0.045)	(0.047)	(0.047)	(0.073)		(0.084)	(0.047)	(0.042)	(0.050)	(0.045)	(0.040)	(0.060)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.090**															-0.12**	-0.12**	-0.76***	-0.18	-0.12	-0.12**	-0.21***			-0.039	-0.12	-0.15***
																				(0.039)															(0.049)	(0.049)	(0.11)	(0.12)	(0.12)	(0.049)	(0.046)			(0.043)	(0.10)	(0.043)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.073***									-0.098***	-0.098***	-0.098***	-0.097***	-0.10***	-0.099***	-0.099***	0.091**		-0.099	-0.099***		-0.097***	-0.10***	-0.091***	-0.099**	
																					(0.013)									(0.015)	(0.014)	(0.016)	(0.017)	(0.016)	(0.021)	(0.021)	(0.036)		(0.080)	(0.021)		(0.017)	(0.016)	(0.018)	(0.048)	
1.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 1, Bight of Guinea																					-0.027																								
																						(0.053)																								
2.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 2, South																					0.058																								
																						(0.061)																								
TONMOD	(mean) TONMOD																																	0.00030			0.00018	0.00038					0.00030			
																																		(0.00031)			(0.00052)	(0.00064)					(0.00031)			
totalnetexpperton	totalnetexpperton																																					-0.000039								
																																						(0.000036)								
Constant	Constant	0.098***	-5.50**	-119	0.075**	0.079**	0.073	0.082*	0.091***	0.064	0.017	0.087***	0.065*	-0.11	-0.69***	0.28***	-0.045	-0.045	0.16**	1.28**	0.27***	0.12**	-4.78*	-8.11**	-8.18**	-7.66**	-7.97**	-7.46**	-7.46**	-17.7***	-14.9***	-14.8***	0.069	0.28*	1.92***	1.92***	5.60***	2.34*	1.92	1.92***	2.81***	0.069	0.28*	1.01*	1.92	2.08***
		(0.027)	(2.73)	(191)	(0.030)	(0.034)	(0.072)	(0.042)	(0.035)	(0.046)	(0.057)	(0.029)	(0.036)	(0.18)	(0.27)	(0.044)	(0.069)	(0.069)	(0.075)	(0.52)	(0.040)	(0.048)	(2.88)	(3.52)	(3.89)	(3.60)	(3.86)	(3.57)	(3.57)	(3.50)	(3.35)	(3.69)	(0.32)	(0.16)	(0.62)	(0.62)	(0.82)	(1.38)	(1.41)	(0.62)	(0.61)	(0.32)	(0.16)	(0.55)	(1.20)	(0.57)
																																														
Observations		387	387	387	387	387	369	371	371	371	364	364	364	387	364	363	322	322	317	368	364	329	387	369	351	351	350	350	350	339	338	315	315	315	298	298	298	305	298	298	298	315	315	297	298	368
R-squared		0.143	0.153	0.153	0.154	0.148	0.014	0.147	0.147	0.148	0.108	0.103	0.106	0.163	0.182	0.220	0.024	0.024	0.108	0.161	0.225	0.064	0.154	0.037	0.026	0.030	0.028	0.035	0.035	0.176	0.247	0.239	0.220	0.219	0.251	0.251	0.357	0.114	0.251	0.251	0.191	0.220	0.219	0.243	0.251	0.189
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
