transactionid,ventureid,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,timing,currency,remarks,specificationcategory,dateoftransaction,transaction_year
DR029_H001,DR029,Expenditure,Insurance,543,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR029_H002,DR029,Expenditure,Ship Out,513,nan,0,VSDT*VSDO*VSRV*VSRV,Outfitting,Pound sterling,Residual value from previous voyage DR110,Ship,,
DR029_H003,DR029,Return,Ship In,385,nan,0,VSDT*VSDO*VSRV*VSRV*VSRV,Return,Pound sterling,,Ship,,
DR029_T001,DR029,Expenditure,Gross outlays,4938,,0,,Outfitting,Pound sterling,,Unknown,,
DR029_T002,DR029,Return,Net return,6382,,0,,Return,Pound sterling,,Unknown,,
DR030_H001,DR030,Expenditure,Insurance,669,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR030_H002,DR030,Expenditure,Ship Out,385,nan,0,VSDT*VSDO*VSRV*VSRV*VSRV,Outfitting,Pound sterling,Residual value from previous voyage DR029,Ship,,
DR030_H003,DR030,Return,Ship In,289,nan,0,VSDT*VSDO*VSRV*VSRV*VSRV*VSRV,Return,Pound sterling,,Ship,,
DR030_T001,DR030,Expenditure,Gross outlays,6085,,0,,Outfitting,Pound sterling,,Unknown,,
DR030_T002,DR030,Return,Net return,6582,,0,,Return,Pound sterling,,Unknown,,
DR030_T003,DR030,Return,Owing from Jamaica,1153,,0,OR,Return,Pound sterling,,Doubtful credit,,
DR031_H001,DR031,Expenditure,Insurance,355,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR031_H002,DR031,Expenditure,Ship Out,608.42999,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR031_H003,DR031,Return,Ship In,456.32251,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR031_T001,DR031,Expenditure,Gross outlays,3224,,0,,Outfitting,Pound sterling,,Unknown,,
DR031_T002,DR031,Return,Net return,4727,,0,,Return,Pound sterling,,Unknown,,
DR032_H001,DR032,Expenditure,Insurance,310,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR032_H002,DR032,Expenditure,Ship Out,532.09998,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR032_H003,DR032,Return,Ship In,399.07501,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR032_T001,DR032,Expenditure,Gross outlays,2820,,0,,Outfitting,Pound sterling,,Unknown,,
DR032_T002,DR032,Return,Net return,3716,,0,,Return,Pound sterling,,Unknown,,
DR033_H001,DR033,Expenditure,Insurance,348,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR033_H002,DR033,Expenditure,Ship Out,597.71997,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR033_H003,DR033,Return,Ship In,448.29001,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR033_T001,DR033,Expenditure,Gross outlays,3168,,0,,Outfitting,Pound sterling,,Unknown,,
DR033_T002,DR033,Return,Net return,2101,,0,,Return,Pound sterling,,Unknown,,
DR034_H001,DR034,Expenditure,Insurance,396,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR034_H002,DR034,Expenditure,Ship Out,679.48999,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR034_H003,DR034,Return,Ship In,509.61749,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR034_T001,DR034,Expenditure,Gross outlays,3601,,0,,Outfitting,Pound sterling,,Unknown,,
DR034_T002,DR034,Return,Net return,2681,,0,,Return,Pound sterling,,Unknown,,
DR035_H001,DR035,Expenditure,Insurance,301,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR035_H002,DR035,Expenditure,Ship Out,516.46002,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR035_H003,DR035,Return,Ship In,387.345,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR035_T001,DR035,Expenditure,Gross outlays,2737,,0,,Outfitting,Pound sterling,,Unknown,,
DR035_T002,DR035,Return,Net return,2864,,0,,Return,Pound sterling,,Unknown,,
DR036_H001,DR036,Expenditure,Insurance,293,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR036_H002,DR036,Expenditure,Ship Out,503.03,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR036_H003,DR036,Return,Ship In,377.27249,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR036_T001,DR036,Expenditure,Gross outlays,2666,,0,,Outfitting,Pound sterling,,Unknown,,
DR036_T002,DR036,Return,Net return,3792,,0,,Return,Pound sterling,,Unknown,,
DR037_H001,DR037,Expenditure,Insurance,346,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR037_H002,DR037,Expenditure,Ship Out,593.46997,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR037_H003,DR037,Return,Ship In,445.10251,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR037_T001,DR037,Expenditure,Gross outlays,3145,,0,,Outfitting,Pound sterling,,Unknown,,
DR037_T002,DR037,Return,Net return,3909,,0,,Return,Pound sterling,,Unknown,,
DR038_H001,DR038,Expenditure,Insurance,291,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR038_H002,DR038,Expenditure,Ship Out,499.63,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR038_H003,DR038,Return,Ship In,374.7225,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR038_T001,DR038,Expenditure,Gross outlays,2648,,0,,Outfitting,Pound sterling,,Unknown,,
DR038_T002,DR038,Return,Net return,3553,,0,,Return,Pound sterling,,Unknown,,
DR039_H001,DR039,Expenditure,Insurance,425,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
DR039_H002,DR039,Expenditure,Ship Out,729.29999,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR039_H003,DR039,Return,Ship In,546.97498,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR039_T001,DR039,Expenditure,Gross outlays,3865,,0,,Outfitting,Pound sterling,,Unknown,,
DR039_T002,DR039,Return,Net return,2570,,0,,Return,Pound sterling,,Unknown,,
DR040_H001,DR040,Expenditure,Insurance,448,nan,0,INV,Outfitting,Pound sterling,,Insurance,,
