Line number,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
185,KR059,Return,Other returns,20000,,0,,,Return,Peso fuerte,
186,KR060,Return,Other returns,6500,,0,,,Return,Peso fuerte,
187,KR061,Return,Other returns,4000,,0,,,Return,Peso fuerte,
188,KR062,Return,Other returns,14102,,0,,,Return,Peso fuerte,
189,KR063,Return,Other returns,12298,,0,,,Return,Peso fuerte,
190,KR064,Return,Other returns,5314,,0,,,Return,Peso fuerte,
191,KR065,Return,Other returns,495,,0,,,Return,Peso fuerte,
192,KR054,Return,Value of ship upon return,4687.75,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
193,KR055,Return,Value of ship upon return,6828.00641025641,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
194,KR056,Return,Value of ship upon return,8196.07051282051,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
195,KR057,Return,Value of ship upon return,6686.44871794872,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
196,KR058,Return,Value of ship upon return,5060.55128205128,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
197,KR059,Return,Value of ship upon return,10033.2692307692,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
198,KR060,Return,Value of ship upon return,10025.4230769231,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
199,KR061,Return,Value of ship upon return,8595.67948717949,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
200,KR062,Return,Value of ship upon return,10656.9294871794,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
201,KR063,Return,Value of ship upon return,8514.60256410256,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
202,KR064,Return,Value of ship upon return,8681.44230769231,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
203,KR065,Return,Value of ship upon return,4764.25,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
204,KR066,Return,Value of ship upon return,4458.25,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
205,KR067,Return,Value of ship upon return,7311.41666666667,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
206,KR068,Return,Value of ship upon return,5819.23076923077,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
207,KR069,Return,Value of ship upon return,10423.9423076923,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
208,KR070,Return,Value of ship upon return,6769.48717948718,,,VSDO*VSRV*VSRT,,Return,Peso fuerte,
209,KR054,Expenditure,Insurance,10754.25,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 25% (year of war)
210,KR055,Expenditure,Insurance,6892.27,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 11% (year of peace)
211,KR056,Expenditure,Insurance,8273.21,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 11% (year of peace)
212,KR057,Expenditure,Insurance,6749.38,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 11% (year of peace)
213,KR058,Expenditure,Insurance,5108.18,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 11% (year of peace)
214,KR059,Expenditure,Insurance,10127.7,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 11% (year of peace)
215,KR060,Expenditure,Insurance,10119.78,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 11% (year of peace)
216,KR061,Expenditure,Insurance,8676.58,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 11% (year of peace)
217,KR062,Expenditure,Insurance,10757.23,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 11% (year of peace)
218,KR063,Expenditure,Insurance,8594.74,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 11% (year of peace)
219,KR064,Expenditure,Insurance,8763.15,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 11% (year of peace)
220,KR065,Expenditure,Insurance,10929.75,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 11% (year of peace)
221,KR066,Expenditure,Insurance,10227.75,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 25% (year of war)
222,KR067,Expenditure,Insurance,16773.25,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 25% (year of war)
223,KR068,Expenditure,Insurance,13350,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 25% (year of war)
224,KR069,Expenditure,Insurance,23913.75,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 25% (year of war)
225,KR070,Expenditure,Insurance,15530,,,INV*INT,,Outfitting,Peso fuerte,Insurance rate assumed to be 25% (year of war)
