linenumber,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
205,DR036,Expenditure,Gross outlays,2666,,0,,,Outfitting,Pound sterling,
206,DR036,Expenditure,Insurance,293,,0,INV,,Outfitting,Pound sterling,
207,DR036,Return,Net return,3792,,0,,,Return,Pound sterling,
208,DR036,Expenditure,Ship Out,503.03,,0,VSDT*VSDO,,Outfitting,Pound sterling,
209,DR036,Return,Ship In,377.2725,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
210,DR037,Expenditure,Gross outlays,3145,,0,,,Outfitting,Pound sterling,
211,DR037,Expenditure,Insurance,346,,0,INV,,Outfitting,Pound sterling,
212,DR037,Return,Net return,3909,,0,,,Return,Pound sterling,
213,DR037,Expenditure,Ship Out,593.47,,0,VSDT*VSDO,,Outfitting,Pound sterling,
214,DR037,Return,Ship In,445.1025,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
215,DR038,Expenditure,Gross outlays,2648,,0,,,Outfitting,Pound sterling,
216,DR038,Expenditure,Insurance,291,,0,INV,,Outfitting,Pound sterling,
217,DR038,Return,Net return,3553,,0,,,Return,Pound sterling,
218,DR038,Expenditure,Ship Out,499.63,,0,VSDT*VSDO,,Outfitting,Pound sterling,
219,DR038,Return,Ship In,374.7225,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
220,DR039,Expenditure,Gross outlays,3865,,0,,,Outfitting,Pound sterling,
221,DR039,Expenditure,Insurance,425,,0,INV,,Outfitting,Pound sterling,
222,DR039,Return,Net return,2570,,0,,,Return,Pound sterling,
223,DR039,Expenditure,Ship Out,729.3,,0,VSDT*VSDO,,Outfitting,Pound sterling,
224,DR039,Return,Ship In,546.975,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
225,DR040,Expenditure,Gross outlays,4069,,0,,,Outfitting,Pound sterling,
226,DR040,Expenditure,Insurance,448,,0,INV,,Outfitting,Pound sterling,
227,DR040,Return,Net return,2839,,0,,,Return,Pound sterling,
228,DR040,Expenditure,Ship Out,767.89,,0,VSDT*VSDO,,Outfitting,Pound sterling,
229,DR040,Return,Ship In,575.9175,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
230,DR041,Expenditure,Gross outlays,7100,,0,,,Outfitting,Pound sterling,
231,DR041,Expenditure,Insurance,781,,0,INV,,Outfitting,Pound sterling,
232,DR041,Return,Net return,4100,,0,,,Return,Pound sterling,
